,trending_date,category,Unnamed: 0,views,likes,dislikes,comment_count,video_error_or_removed,trend_count
0,2017-11-01,Autos & Vehicles,105273290,129959693,3977818,263326,546379,0,478
1,2017-12-01,Autos & Vehicles,163462269,251319334,9420978,503933,1179275,0,704
2,2018-01-01,Autos & Vehicles,121069413,235129687,5755710,245137,782948,0,591
3,2018-02-01,Autos & Vehicles,164063061,568838043,6444368,646123,970336,2,807
4,2018-03-01,Autos & Vehicles,162863454,143030062,5736084,282450,809534,0,755
5,2018-04-01,Autos & Vehicles,111799251,136020575,5080866,211360,642494,0,533
6,2018-05-01,Autos & Vehicles,147317678,136589690,5930765,259106,714470,0,609
7,2018-06-01,Autos & Vehicles,68175626,60966682,3115306,160025,311949,0,257
8,2017-11-01,Comedy,371998367,1664879664,86448663,2980511,8956697,0,2371
9,2017-12-01,Comedy,721519938,3825411800,218193202,6866606,19447540,0,4365
10,2018-01-01,Comedy,610774852,2812988682,148990970,6353872,18743259,2,3602
11,2018-02-01,Comedy,605630223,2591355361,117153391,5582924,11523962,1,3488
12,2018-03-01,Comedy,654045744,2930944252,139196661,5632992,13863323,0,3843
13,2018-04-01,Comedy,561177102,3087684838,152787827,5292379,14643642,0,3249
14,2018-05-01,Comedy,730511486,3400780713,144117079,5218879,14919256,0,4141
15,2018-06-01,Comedy,337986516,1736821029,74504851,2770170,7967157,0,1911
16,2017-11-01,Education,127013156,161930792,7283853,271437,874992,0,733
17,2017-12-01,Education,213331481,320949349,15082481,521235,1779145,0,1219
18,2018-01-01,Education,204201239,302656466,12753416,470894,1640432,0,1189
19,2018-02-01,Education,191629265,288152361,11608254,455826,1380637,0,1141
20,2018-03-01,Education,195797012,411567319,17786600,591601,2194007,0,1235
21,2018-04-01,Education,139371465,536901525,22095362,605614,2323851,0,861
22,2018-05-01,Education,167098597,537740963,22173997,576103,2458410,0,980
23,2018-06-01,Education,78814500,174942635,8695084,217855,895701,0,430
24,2017-11-01,Entertainment,1319187138,4986575258,146790810,5684591,17926890,3,8123
25,2017-12-01,Entertainment,2572394441,20100117859,613029804,94709930,106048144,3,15716
26,2018-01-01,Entertainment,2326448855,8530715493,277902570,48296768,61386493,8,14076
27,2018-02-01,Entertainment,2517344940,13039667206,269286959,16053752,33869800,8,14515
28,2018-03-01,Entertainment,2971063300,15004306842,432848311,19179745,55749270,2,17003
29,2018-04-01,Entertainment,2338318736,14269220018,400044002,17107146,46158736,0,13016
30,2018-05-01,Entertainment,3275377324,18497045919,453155423,32444465,54767279,36,18255
31,2018-06-01,Entertainment,1520246374,10089818658,264685712,14793945,31676519,8,8302
32,2017-11-01,Film & Animation,334346344,1938197537,39313174,1537956,4362385,0,1678
33,2017-12-01,Film & Animation,600224533,1854446972,37054040,1882519,4834365,0,3102
34,2018-01-01,Film & Animation,492309892,1718782245,44857328,2547845,6684480,1,2661
35,2018-02-01,Film & Animation,587210882,4713697486,98230919,3795528,11137311,1,2954
36,2018-03-01,Film & Animation,646253673,5173737788,115545743,4764623,11729492,0,3302
37,2018-04-01,Film & Animation,514210820,3340185561,73487814,2499308,7307499,43,2486
38,2018-05-01,Film & Animation,649596621,5582566341,116365321,4777263,11016159,40,3252
39,2018-06-01,Film & Animation,295195780,3297733971,65031251,3474165,8315434,0,1497
40,2017-11-01,Gaming,160648903,254868114,10619284,328839,1607090,0,843
41,2017-12-01,Gaming,355798807,854615102,34775794,1475859,5239057,0,1827
42,2018-01-01,Gaming,362198418,1016068117,44502017,2304670,8701938,1,1838
43,2018-02-01,Gaming,274261281,392499326,16452998,526511,3381393,1,1356
44,2018-03-01,Gaming,468774539,1032259381,41687780,1996875,6786208,0,2164
45,2018-04-01,Gaming,219105911,1194743125,53749330,2084069,5077193,0,1107
46,2018-05-01,Gaming,267193269,1738007319,54628514,5766235,8638216,0,1404
47,2018-06-01,Gaming,175523130,1247669018,41921946,5051316,9422856,0,959
48,2017-11-01,Howto & Style,282873594,686907295,24867814,1033112,2750830,0,1620
49,2017-12-01,Howto & Style,486741776,1485603398,44409624,1925589,7784460,1,2796
50,2018-01-01,Howto & Style,446697125,893964694,40040355,1134094,7194791,0,2602
51,2018-02-01,Howto & Style,493023190,1161237481,43707605,1460334,6961797,2,2772
52,2018-03-01,Howto & Style,535321346,1334719659,45935534,1785208,6871915,0,3223
53,2018-04-01,Howto & Style,357461923,1330384242,47180957,2028375,5950356,0,2094
54,2018-05-01,Howto & Style,449276021,1915014780,64756462,2263778,8220973,0,2576
55,2018-06-01,Howto & Style,210061535,963200378,36439944,1126494,3445814,0,1173
56,2018-01-01,Movies,851218,591375,5466,441,411,0,3
57,2018-04-01,Movies,814695,89959,1008,99,172,0,5
58,2018-05-01,Movies,1211543,759209,28860,794,1469,0,7
59,2018-06-01,Movies,3847533,68919234,970083,48908,53780,0,21
60,2017-11-01,Music,459164126,9097340257,392709087,11333007,38722113,0,2879
61,2017-12-01,Music,945393063,12784568520,523265300,23197171,45204402,1,5621
62,2018-01-01,Music,911359941,15867949367,600508993,27794228,47223822,1,5364
63,2018-02-01,Music,915300179,26462124910,686931992,35490631,52221703,0,5410
64,2018-03-01,Music,1146702782,53949762982,1222323300,42471855,95033641,7,6556
65,2018-04-01,Music,1053290215,41167782022,1116729817,40586226,88528944,19,5989
66,2018-05-01,Music,1273241250,71496712401,1932297142,83696082,194414045,32,7321
67,2018-06-01,Music,569635935,25140848484,752432796,30088619,58681845,0,3374
68,2017-11-01,News & Politics,640803965,476467175,6962892,1082130,2020537,0,3131
69,2017-12-01,News & Politics,1041698622,1100352246,15540649,4240399,4680295,0,5325
70,2018-01-01,News & Politics,1068560360,1192223843,20186670,3763084,5923121,10,5454
71,2018-02-01,News & Politics,1022829594,1539655064,34712369,4083369,7325668,3,5037
72,2018-03-01,News & Politics,1284306097,1577473635,22724632,6110593,8349559,0,5666
73,2018-04-01,News & Politics,1009308436,1320050446,16840930,3380769,5115943,0,4603
74,2018-05-01,News & Politics,1271575698,2431099425,34465169,4729819,8592387,0,5720
75,2018-06-01,News & Politics,538490032,785181157,12070111,1388235,3383620,0,2352
76,2017-11-01,Nonprofits & Activism,40835,1456,0,0,0,0,1
77,2017-12-01,Nonprofits & Activism,530946,152739,8382,187,1507,0,13
78,2018-01-01,Nonprofits & Activism,653704,133570568,12288453,2741837,4052640,0,16
79,2018-02-01,Nonprofits & Activism,735723,32489470,2428360,567039,749288,0,18
80,2018-05-01,Nonprofits & Activism,204425,1429679,47797,694,2922,0,5
81,2018-06-01,Nonprofits & Activism,163558,1297480,42654,624,2440,0,4
82,2017-11-01,People & Blogs,959982325,1055709206,34967822,5009433,5589459,0,4470
83,2017-12-01,People & Blogs,1754058834,2864113667,107802957,14290251,17448086,0,8247
84,2018-01-01,People & Blogs,1713487556,2402580087,88125683,7785659,12508435,3,7791
85,2018-02-01,People & Blogs,1777188767,5284266609,96959797,5914553,12918967,4,8071
86,2018-03-01,People & Blogs,1888476897,3698713957,79673063,5596980,9400629,0,8627
87,2018-04-01,People & Blogs,1492585419,2748256017,80125272,4803549,12739877,0,6863
88,2018-05-01,People & Blogs,1575636806,3548456521,112449036,6584394,16069798,0,7136
89,2018-06-01,People & Blogs,611010215,1998269345,92447331,6649184,14214207,0,2847
90,2017-11-01,Pets & Animals,47125912,107510577,4649479,79560,768036,0,262
91,2017-12-01,Pets & Animals,83522263,195777143,6857751,131544,1311350,0,474
92,2018-01-01,Pets & Animals,107226037,256331835,7932394,186627,1154098,0,622
93,2018-02-01,Pets & Animals,169785354,305991645,9118212,193771,1225378,1,854
94,2018-03-01,Pets & Animals,158455446,236255629,6729520,229881,973264,0,776
95,2018-04-01,Pets & Animals,122540537,221062005,4279621,180497,571324,0,571
96,2018-05-01,Pets & Animals,190562799,411724675,11377465,303736,1340040,0,874
97,2018-06-01,Pets & Animals,93727629,273820722,5657050,198150,760188,0,430
98,2017-11-01,Science & Technology,139309954,984260566,27100642,1606658,5337189,0,917
99,2017-12-01,Science & Technology,181033923,626843074,27041431,1070167,4584543,1,1121
100,2018-01-01,Science & Technology,140668664,438921778,20452365,770570,3093389,1,988
101,2018-02-01,Science & Technology,204107670,1924110848,52294290,1749259,9247984,1,1359
102,2018-03-01,Science & Technology,180085627,1565867217,33236853,2349973,4053213,0,1272
103,2018-04-01,Science & Technology,117330045,566617582,17934120,854642,3015701,0,820
104,2018-05-01,Science & Technology,191735229,2475815854,57913676,2840255,13965669,0,1253
105,2018-06-01,Science & Technology,71762056,612278232,16597544,977050,4047055,0,441
106,2017-11-01,Shows,29515939,40186151,394916,55375,72734,0,123
107,2017-12-01,Shows,30465406,59333824,406107,107725,85292,0,150
108,2018-01-01,Shows,19419703,51165146,288539,140093,79852,0,99
109,2018-02-01,Shows,22263339,33261719,174396,93760,41112,0,87
110,2018-03-01,Shows,21622644,24384228,202682,29395,31976,0,80
111,2018-04-01,Shows,22956707,43422548,807969,38141,73896,0,100
112,2018-05-01,Shows,47634741,126840871,1348492,142737,144571,0,235
113,2018-06-01,Shows,21063181,65470069,947726,75279,111932,0,100
114,2017-11-01,Sports,371621340,911824142,18929094,615963,2015628,0,2000
115,2017-12-01,Sports,575311901,1706281737,36573493,1286848,3830582,1,3052
116,2018-01-01,Sports,617168888,2075787330,47080094,1406894,4885028,2,3310
117,2018-02-01,Sports,698359749,3146920318,55948232,7573226,8075391,2,3605
118,2018-03-01,Sports,665265587,4272014917,111970706,9665193,12551618,0,3538
119,2018-04-01,Sports,576268164,2698765075,52207031,2227717,5236774,0,3014
120,2018-05-01,Sports,668044233,2828740758,52495477,2724965,7255706,0,3440
121,2018-06-01,Sports,356950068,1332090887,24426616,1035219,3147382,0,1725
122,2018-02-01,Trailers,587611,33299,6,0,2,0,2
123,2018-03-01,Trailers,122337,8804,0,0,0,0,1
124,2018-05-01,Trailers,325897,12940,192,9,0,0,2
125,2017-11-01,Travel & Events,27039260,58850138,869437,48298,123290,0,146
126,2017-12-01,Travel & Events,41006313,64522531,1490514,162860,334026,0,266
127,2018-01-01,Travel & Events,53629625,46460032,1622680,79922,257103,0,286
128,2018-02-01,Travel & Events,44518324,274971867,1837798,84493,306192,0,273
129,2018-03-01,Travel & Events,51354395,113584954,3701545,149350,575478,0,309
130,2018-04-01,Travel & Events,33270390,84874415,1437184,100450,267065,0,207
131,2018-05-01,Travel & Events,36505985,50290693,1479855,71521,212321,0,193
132,2018-06-01,Travel & Events,16398634,33120329,1055066,43068,165278,0,96
